|                    |F1|F2|F3|F4|F5|F6|F7|F8|F9|ANSWER|
| Individual 937       |42.179|0.0564967|27.3454|1.81326|6.36325|175.079|30.7258|136.727|1.75676|-35.8158|84.2594|
| Individual 938       |41.4598|0.0269644|28.1899|1.84174|5.06072|170.9|1.99072|140.95|1.81478|-36.3991|77.2561|
| Individual 939       |61.1029|0.0146664|46.4463|1.8413|5.84108|250.253|13.5779|232.231|1.82664|-55.2618|101.781|
| Individual 940       |52.2936|0.136737|33.5165|1.75412|5.09714|214.272|244.266|167.583|1.61738|-47.1965|105.635|
| Individual 941       |45.3331|0.0722155|45.7904|1.98183|5.8081|187.141|6.00682|228.952|1.90962|-39.525|40.2213|
| Individual 942       |52.1311|0.0538784|28.939|1.92226|6.04521|214.57|153.629|144.695|1.86839|-46.0859|118.411|
| Individual 943       |42.6357|0.0628813|32.5262|1.97496|4.10759|174.65|1.95604|162.631|1.91208|-38.5281|67.5113|
| Individual 944       |57.4878|0.0490199|28.6662|1.8311|4.71703|234.668|-44.094|143.331|1.78208|-52.7708|139.759|
| Individual 945       |65.5082|0.0243561|22.6641|2.00241|4.80425|266.837|142.308|113.321|1.97805|-60.704|188.954|
| Individual 946       |51.9334|0.183153|37.7237|2.01248|-6.99683|200.737|60.2966|188.619|1.82933|-58.9302|78.419|
| Individual 947       |36.8396|0.0245993|23.4434|1.88977|22.4001|169.759|0.0110462|117.217|1.86517|-14.4395|90.1025|
| Individual 948       |57.0953|0.126231|23.7366|1.94641|2.99176|231.373|45.0013|118.683|1.82018|-54.1036|151.062|
| Individual 949       |66.5618|0.48726|30.4075|1.9296|5.34626|271.593|2.00577|152.038|1.44234|-61.2155|173.159|
| Individual 950       |50.3097|0.198537|49.8598|1.99443|6.67757|207.916|5.0595|249.299|1.7959|-43.6321|49.3574|
| Individual 951       |37.9314|0.0866203|23.9123|1.89037|2.414|154.139|246.246|119.562|1.80375|-35.5173|73.3837|
| Individual 952       |52.3299|0.00786511|20.2302|1.84588|6.10458|215.424|6.02836|101.151|1.83801|-46.2253|145.544|
| Individual 953       |51.529|0.0849811|30.0811|1.95464|27.6772|233.793|225.007|150.405|1.86966|-23.8518|134.202|
| Individual 954       |38.2762|0.0563897|24.4064|1.82113|4.26656|157.372|1.99472|122.032|1.76474|-34.0097|75.3288|
| Individual 955       |43.8195|0.0220257|37.3817|1.86925|5.89983|181.178|-55.2371|186.909|1.84723|-37.9197|59.7966|
| Individual 956       |45.5286|0.0462796|29.7002|2.09072|4.81127|186.926|101.268|148.501|2.04444|-40.7173|87.6027|
| Individual 957       |47.2792|0.118525|38.3705|1.96257|4.0749|193.192|52.7122|191.853|1.84405|-43.2043|68.8598|
| Individual 958       |73.9104|0.123622|25.4966|2.0223|6.43406|302.076|0.0216514|127.483|1.89867|-67.4763|216.092|
| Individual 959       |53.2473|0.164954|29.6972|1.86555|3.84311|216.832|35.6922|148.486|1.70059|-49.4042|119.238|
| Individual 960       |47.3325|0.0184769|26.0997|1.9853|5.44337|194.773|2.01935|130.499|1.96682|-41.8892|106.64|
| Individual 961       |46.9096|0.0186228|42.1391|2.01517|6.12606|193.765|4.43825|210.696|1.99655|-40.7836|57.3646|
| Individual 962       |39.6543|0.0256292|39.1026|2.08932|4.21314|162.83|215.287|195.513|2.06369|-35.4412|35.2039|
| Individual 963       |53.3343|0.0250981|47.5462|2.01343|6.50076|219.838|6.07972|237.731|1.98833|-46.8336|67.2578|
| Individual 964       |36.5329|0.0324194|31.8997|2.02042|5.20773|151.339|178.461|159.498|1.988|-31.3252|45.7003|
| Individual 965       |51.4135|0.0282838|39.8436|1.95916|4.21502|209.869|1.9977|199.218|1.93088|-47.1985|80.6838|
| Individual 966       |42.8591|0.0225313|22.4049|1.95627|-2.75303|168.684|-48.274|112.025|1.93374|-45.6122|91.8001|
| Individual 967       |53.4783|0.135971|38.6096|2.04859|5.20983|219.123|98.2222|193.048|1.91262|-48.2684|93.731|
| Individual 968       |44.6368|0.202335|32.004|1.98597|5.04475|183.592|62.266|160.02|1.78363|-39.592|78.6617|
| Individual 969       |52.4807|0.0549306|20.0801|1.90988|3.84104|213.764|0.0765452|100.401|1.85494|-48.6396|144.249|
| Individual 970       |44.1308|0.46378|29.7568|1.97495|4.40854|180.932|29.7029|148.784|1.51117|-39.7222|84.1053|
| Individual 971       |38.3989|0.0565633|45.9305|1.86423|5.44401|159.04|1.95744|229.652|1.80767|-32.9549|12.21|
| Individual 972       |45.8877|0.176869|46.2528|2.01684|5.2659|188.817|6.18335|231.264|1.83997|-40.6218|40.8587|
| Individual 973       |37.0076|0.553025|48.8685|1.79779|4.50216|152.532|255.247|244.342|1.24476|-32.5054|-0.296815|
| Individual 974       |32.3824|0.0117692|39.0586|1.97128|-3.3508|126.179|5.94886|195.293|1.95951|-35.7332|-0.79441|
| Individual 975       |24.9332|0.0203185|35.4861|2.05124|-4.5788|95.1538|148.514|177.43|2.03092|-29.512|-21.4589|
| Individual 976       |35.9935|0.062937|34.728|1.97293|6.28165|150.256|1.88089|173.64|1.90999|-29.7119|36.5216|
| Individual 977       |44.5742|0.185711|41.0239|1.6623|4.01664|182.313|-56.0827|205.119|1.47659|-40.5575|51.8587|
| Individual 978       |54.679|0.0339324|49.6248|1.98116|4.17561|222.891|156.734|248.124|1.94723|-50.5034|64.2809|
| Individual 979       |70.8712|0.0200655|46.7187|1.84651|2.90457|286.389|63.712|233.594|1.82644|-67.9666|137.101|
| Individual 980       |59.3359|0.096916|23.3641|2.13365|-4.00946|233.334|0.0124699|116.82|2.03673|-63.3453|153.058|
| Individual 981       |57.2939|0.00169709|40.192|1.85066|5.31718|234.493|45.0913|200.96|1.84897|-51.9767|104.672|
| Individual 982       |48.7352|0.0723313|38.5482|1.84435|4.91096|199.852|1.92895|192.741|1.77202|-43.8242|75.3469|
| Individual 983       |62.5094|0.365267|41.8652|1.54765|4.64237|254.68|-3.81499|209.326|1.18238|-57.867|123.172|
| Individual 984       |53.8762|0.0972073|22.982|1.86445|0.948619|216.453|251.033|114.91|1.76724|-52.9276|138.671|
| Individual 985       |55.3899|0.0308065|20.8544|1.68427|5.05078|226.61|5.79933|104.272|1.65346|-50.3391|155.78|
| Individual 986       |58.3229|0.0122897|26.5544|2.00781|3.901|237.193|225.456|132.772|1.99552|-54.4219|147.552|
| Individual 987       |34.7345|0.173215|43.9152|1.94485|5.72813|144.666|1.91649|219.576|1.77164|-29.0064|4.06243|
| Individual 988       |59.8684|0.0640385|44.0771|1.92221|9.99196|249.466|-67.527|220.386|1.85817|-49.8764|107.943|
| Individual 989       |55.4633|0.059605|47.1431|2.03712|3.59119|225.444|106.177|235.715|1.97752|-51.8721|74.1274|
| Individual 990       |59.367|0.0412397|36.962|1.91729|3.57825|241.046|35.3743|184.81|1.87605|-55.7887|120.78|
| Individual 991       |61.3615|0.0608654|26.2434|2.01175|4.83098|250.277|0.0218377|131.217|1.95088|-56.5305|161.792|
| Individual 992       |66.6801|0.110081|32.5681|1.92095|5.59014|272.31|45.0799|162.84|1.81087|-61.0899|165.552|
| Individual 993       |47.4754|0.0434034|36.7862|2.00553|3.5237|193.425|1.99807|183.931|1.96212|-43.9517|73.2561|
| Individual 994       |39.0374|0.265852|23.6758|1.8733|7.98996|164.14|3.3289|118.379|1.60744|-31.0474|85.0749|
| Individual 995       |56.3059|0.0120286|45.457|1.9038|4.51812|229.742|144.826|227.285|1.89177|-51.7878|83.912|
| Individual 996       |38.1868|0.0688063|23.5448|1.73283|1.30799|154.055|6.01605|117.724|1.66403|-36.8788|75.1008|
| Individual 997       |56.4633|0.198055|29.945|1.87181|5.45355|231.307|225.4|149.725|1.67376|-51.0098|133.103|
| Individual 998       |54.9463|0.282422|25.9768|1.96063|5.19109|224.976|1.97623|129.884|1.6782|-49.7552|138.655|
| Individual 999       |37.399|0.00421765|40.1376|2.01742|4.98868|154.584|-32.0454|200.688|2.0132|-32.4103|24.1058|
| Individual 1000       |46.73|0.106514|23.8756|2.03008|7.73288|194.653|-0.294674|119.378|1.92356|-38.9971|113.408|
| Individual 1001       |55.6757|0.0825135|27.269|1.96283|5.60002|228.303|55.5909|136.345|1.88032|-50.0756|137.094|
| Individual 1002       |60.6574|0.0231295|23.5002|2.00975|2.63251|245.262|0.205015|117.501|1.98663|-58.0249|164.828|
| Individual 1003       |44.2897|0.0313075|37.3086|2.07944|4.70328|181.862|23.4682|186.543|2.04813|-39.5864|59.6955|
| Individual 1004       |35.3598|0.228557|20.0164|1.96013|4.94262|146.382|2.0096|100.082|1.73158|-30.4172|77.6748|
| Individual 1005       |45.3963|0.0408654|37.8839|1.99421|6.17378|187.759|11.9554|189.42|1.95334|-39.2226|64.3407|
| Individual 1006       |36.3828|0.187245|28.6731|1.86689|3.14455|148.676|234.319|143.366|1.67964|-33.2382|54.2582|
| Individual 1007       |61.4735|0.0780453|20.0444|2.06186|3.27398|249.168|6.23382|100.222|1.98382|-58.1995|179.115|
| Individual 1008       |46.6905|0.0667049|45.929|1.97224|4.9575|191.72|117.341|229.645|1.90554|-41.7331|44.405|
| Individual 1009       |64.6651|0.0176861|20.7271|2.02958|3.81082|262.471|1.80459|103.636|2.0119|-60.8543|190.23|
| Individual 1010       |43.6562|0.0980406|44.6202|1.98341|5.79876|180.424|-43.6355|223.101|1.88537|-37.8575|37.1364|
| Individual 1011       |34.5554|0.0228493|25.725|1.92974|4.44528|142.667|154.891|128.625|1.90689|-30.1102|55.9577|
| Individual 1012       |65.3212|0.0776777|42.5846|1.89048|5.48275|266.768|45.2272|212.923|1.8128|-59.8385|129.95|
| Individual 1013       |65.4327|0.112888|32.2195|1.88161|4.98067|266.711|0.03278|161.098|1.76872|-60.452|161.209|
| Individual 1014       |55.0537|0.0588569|24.9612|1.83273|8.08582|228.301|25.2926|124.806|1.77387|-46.9679|144.547|
| Individual 1015       |61.5361|0.0632277|24.8751|1.9848|6.6067|252.751|2.06687|124.375|1.92157|-54.9294|168.518|
| Individual 1016       |44.0633|0.182288|30.3336|1.96857|2.40829|178.661|1.71863|151.668|1.78628|-41.655|78.7293|
| Individual 1017       |40.3063|0.0475183|47.7287|1.9009|0.043802|161.269|182.627|238.643|1.85338|-40.2625|8.81612|
| Individual 1018       |52.3073|0.0291209|40.3469|1.9577|5.19754|214.427|6.23338|201.735|1.92857|-47.1098|83.7432|
| Individual 1019       |50.4194|0.0309632|31.2373|1.90867|6.23771|207.915|126.463|156.187|1.87771|-44.1817|104.815|
| Individual 1020       |54.2968|0.0136645|33.4713|1.94019|1291.45|1508.64|2.03409|167.356|1.92653|1237.15|1398.59|
| Individual 1021       |48.7106|0.240502|44.3758|1.94548|5.4752|200.317|-43.5085|221.879|1.70498|-43.2354|58.6652|
| Individual 1022       |66.524|0.189566|29.8856|1.67037|4.58865|270.685|96.5791|149.428|1.48081|-61.9353|173.624|
| Individual 1023       |43.8189|0.11041|22.7076|2.08552|6.03186|181.307|51.7509|113.538|1.97511|-37.787|103.309|
| Individual 1024       |34.6709|0.207671|43.4657|1.83883|5.18189|143.865|0.117419|217.328|1.63116|-29.489|5.31266|
| Individual 1025       |62.5611|0.0768502|41.8074|1.92253|3.87948|254.124|37.0802|209.037|1.84568|-58.6816|119.473|
| Individual 1026       |46.1761|0.0915585|25.7098|2.10809|11.8665|196.571|1.95554|128.549|2.01653|-34.3096|109.359|
| Individual 1027       |46.5954|0.0333529|31.8743|1.9407|3.51436|189.896|5.74181|159.371|1.90735|-43.081|84.7363|
| Individual 1028       |41.849|0.0692396|36.1264|1.86875|2.28405|169.68|212.745|180.632|1.79951|-39.5649|52.303|
| Individual 1029       |57.4372|0.214838|46.8211|1.96861|5.31672|235.065|5.98404|234.105|1.75377|-52.1205|85.8334|
| Individual 1030       |45.4004|0.0714161|48.6666|1.82539|5.92182|187.524|185.401|243.333|1.75397|-39.4786|32.7538|
| Individual 1031       |39.6234|0.264298|24.1912|2.05193|1.46464|159.958|1.83812|120.956|1.78763|-38.1588|78.4464|
| Individual 1032       |57.2111|0.0489312|34.8859|1.73513|5.5802|234.425|-46.0091|174.43|1.6862|-51.6309|121.336|
| Individual 1033       |49.3186|0.00363359|37.8365|2.11914|5.86375|203.138|92.3141|189.183|2.1155|-43.4549|79.0512|
| Individual 1034       |65.8999|0.0264218|35.9458|2.0532|5.17878|268.778|40.803|179.729|2.02677|-60.7211|150.807|
| Individual 1035       |55.3788|0.139268|30.4782|1.84856|4.63551|226.151|0.0648081|152.391|1.7093|-50.7433|126.17|
| Individual 1036       |50.1715|0.0579874|24.2177|1.94395|8.4535|209.139|48.8431|121.089|1.88597|-41.718|127.056|
| Individual 1037       |49.2701|0.00240509|21.7828|1.82077|5.30983|202.39|1.89063|108.914|1.81837|-43.9603|127.95|
| Individual 1038       |31.7188|0.0132194|36.7934|1.9502|6.57395|133.449|4.18574|183.967|1.93699|-25.1448|13.384|
| Individual 1039       |61.3947|0.106921|21.1806|2.00821|-1.1796|244.399|167.398|105.903|1.90129|-62.5743|171.351|
| Individual 1040       |52.1767|0.00473359|45.7479|2.02182|24.0875|232.794|5.7367|228.739|2.01709|-28.0892|85.4652|
| Individual 1041       |44.3296|0.0181047|43.4565|1.93656|3.87277|181.191|244.215|217.282|1.91845|-40.4569|41.2296|
| Individual 1042       |51.6891|0.0859758|38.241|1.6146|3.97882|210.735|1.82582|191.205|1.52862|-47.7103|88.3692|
| Individual 1043       |41.2834|0.216465|37.5464|1.88556|4.67315|169.807|-36.6172|187.732|1.66909|-36.6103|48.8222|
| Individual 1044       |39.0725|0.0934077|30.1175|1.72461|-14.1215|142.169|11.7393|150.588|1.63121|-53.194|43.6599|
| Individual 1045       |61.4562|0.169067|23.2323|1.83564|4.79876|250.624|41.8152|116.161|1.66657|-56.6575|172.594|
| Individual 1046       |59.9662|0.154032|20.7108|1.92356|5.35328|245.218|0.322025|103.554|1.76953|-54.6129|174.238|
| Individual 1047       |52.6363|0.15279|29.193|1.9355|6.62987|217.175|37.202|145.965|1.78271|-46.0064|120.682|
| Individual 1048       |41.5085|0.0424065|30.6222|1.75616|4.19653|170.231|1.84776|153.111|1.71376|-37.312|69.7951|
| Individual 1049       |63.1419|0.222772|45.9156|2.03582|4.50889|257.076|-166.71|229.578|1.81304|-58.633|110.265|
| Individual 1050       |32.7887|0.0109404|34.4738|1.59842|4.84485|135.999|0.550968|172.369|1.58748|-27.9438|24.6406|
| Individual 1051       |47.3634|0.114251|29.1075|1.97612|2.58488|192.039|5.86531|145.538|1.86187|-44.7785|95.4067|
| Individual 1052       |64.1112|0.245028|49.8088|2.03699|4.97376|261.419|186.01|249.044|1.79197|-59.1375|103.032|
| Individual 1053       |64.0977|0.0562011|49.1959|1.90531|4.97279|261.364|1.52574|245.98|1.84911|-59.1249|104.53|
| Individual 1054       |41.462|0.0696785|28.2468|1.93345|4.25733|170.106|-208.525|141.234|1.86378|-37.2047|76.0462|
| Individual 1055       |22.4788|0.161475|22.3681|1.96199|3.62761|93.5429|-118.684|111.841|1.80052|-18.8512|17.436|
| Individual 1056       |57.1686|0.195168|34.1139|1.86518|6.83832|235.513|39.6059|170.57|1.67001|-50.3303|124.821|
| Individual 1057       |38.6432|0.216333|26.1278|1.86748|7.42983|162.002|0.110535|130.639|1.65115|-31.2133|75.3634|
| Individual 1058       |47.997|0.0350053|38.0458|2.09056|6.31897|198.307|31.6012|190.229|2.05555|-41.678|73.8916|
| Individual 1059       |38.9341|0.0712015|22.3888|2.06055|4.99603|160.732|2.04659|111.944|1.98935|-33.938|83.6192|
| Individual 1060       |55.2155|0.138974|22.2257|1.8218|3.77469|224.637|5.4085|111.129|1.68282|-51.4408|149.545|
| Individual 1061       |41.3473|0.182868|27.3538|2.06477|5.74416|171.133|163.832|136.769|1.8819|-35.6031|79.6625|
| Individual 1062       |38.2488|0.028183|31.8561|1.89845|5.43369|158.429|6.25031|159.28|1.87027|-32.8151|53.5093|
| Individual 1063       |38.4278|0.00444169|42.2972|1.91893|3.08192|156.793|158.006|211.486|1.91449|-35.3459|20.329|
| Individual 1064       |55.6666|0.201283|48.5119|1.75158|6.34348|229.01|1.93606|242.56|1.5503|-49.3231|75.7227|
| Individual 1065       |47.2744|0.322213|27.4346|2.14597|6.55667|195.654|-34.1974|137.173|1.82376|-40.7177|104.232|
| Individual 1066       |41.9661|0.106673|46.1995|1.88136|6.26747|174.132|59.3482|230.998|1.77468|-35.6986|26.6599|
| Individual 1067       |60.0979|0.0195816|23.6005|1.96572|-4.14714|236.244|50.1378|118.002|1.94614|-64.245|155.712|
| Individual 1068       |42.6548|0.239078|48.4434|2.06422|4.11672|174.736|0.104434|242.217|1.82514|-38.538|20.2799|
| Individual 1069       |59.7582|0.10761|21.4617|2.03415|3.87231|242.905|45.4609|107.308|1.92654|-55.8859|168.887|
| Individual 1070       |53.0467|0.0897245|37.4761|1.7634|12.3599|224.547|1.83202|187.381|1.67368|-40.6868|103.75|
| Individual 1071       |66.5214|0.0631273|22.1461|1.92227|6.412|272.497|7.14198|110.731|1.85914|-60.1094|196.763|
| Individual 1072       |41.8439|0.115045|44.6242|1.95325|5.99522|173.371|207.693|223.121|1.8382|-35.8486|30.3072|
| Individual 1073       |41.994|0.0447126|24.4886|2.05832|3.03124|171.007|5.6005|122.443|2.01361|-38.9628|87.4735|
| Individual 1074       |49.398|0.0907431|43.4791|1.95827|4.65511|202.247|227.304|217.396|1.86753|-44.7429|62.4719|
| Individual 1075       |46.5824|0.256492|23.1262|2.07747|7.17993|193.51|1.72759|115.631|1.82098|-39.4025|115.026|
| Individual 1076       |63.7627|0.159322|23.6081|2.00732|5.70703|260.758|-42.9958|118.041|1.848|-58.0557|180.694|
| Individual 1077       |55.2927|0.0325955|20.1035|1.84211|6.90756|228.078|62.6727|100.518|1.80951|-48.3851|158.72|
| Individual 1078       |65.8184|0.0417718|47.5304|1.98887|5.01143|268.285|56.044|237.652|1.9471|-60.807|115.958|
| Individual 1079       |46.16|0.0735039|43.5313|1.88439|11.8735|196.514|0.0170971|217.657|1.81088|-34.2865|56.8652|
| Individual 1080       |67.417|0.0674691|40.1776|1.91774|3.42713|273.095|25.0733|200.888|1.85027|-63.9899|143.311|
| Individual 1081       |58.7951|0.017758|44.1287|1.92206|2.93288|238.113|2.00857|220.643|1.9043|-55.8623|96.2059|
| Individual 1082       |18.4708|0.113386|25.0838|2.09279|5.56625|79.4493|4.62754|125.419|1.9794|-12.9045|-5.69909|
| Individual 1083       |49.0518|0.246162|33.4506|1.89342|7.1991|203.406|228.803|167.253|1.64726|-41.8527|94.8182|
| Individual 1084       |19.2842|0.263932|25.3348|1.99673|5.77338|82.9101|6.0428|126.674|1.7328|-13.5108|-1.75846|
| Individual 1085       |43.5528|0.044393|24.3141|1.97431|6.27301|180.484|125.366|121.57|1.92992|-37.2798|97.8924|
| Individual 1086       |33.3376|0.0877559|22.4886|1.9356|2.49148|135.842|1.99147|112.443|1.84784|-30.8461|59.1372|
| Individual 1087       |40.4849|0.0440675|45.7874|1.98307|4.2468|166.186|-51.4164|228.937|1.939|-36.2381|19.1292|
| Individual 1088       |51.1448|0.0810442|39.8851|1.93857|4.39935|208.979|143.626|199.426|1.85753|-46.7455|80.0356|
| Individual 1089       |58.4589|0.158764|29.5524|1.95029|6.5712|240.407|66.3625|147.762|1.79152|-51.8877|142.792|
| Individual 1090       |60.7717|0.0757092|21.8113|1.91384|4.62821|247.715|0.0418319|109.056|1.83814|-56.1435|173.09|
| Individual 1091       |52.452|0.0692878|35.7191|1.60692|4.09579|213.904|40.9892|178.595|1.53764|-48.3562|99.0586|
| Individual 1092       |67.6414|0.0453581|47.5539|1.91423|3.38459|273.95|2.03642|237.769|1.86887|-64.2568|121.944|
| Individual 1093       |45.0288|0.0257936|36.9039|1.87258|5.55165|185.667|6.2261|184.519|1.84679|-39.4771|65.7212|
| Individual 1094       |43.9921|0.00720108|33.7454|2.0119|4.8512|180.82|271.676|168.727|2.0047|-39.1409|69.5599|
| Individual 1095       |39.6377|0.131506|43.2596|1.8066|5.52893|164.08|6.15109|216.298|1.67509|-34.1088|25.9256|
| Individual 1096       |54.607|0.0261424|30.4978|1.91113|1.31607|219.744|204.946|152.489|1.88499|-53.291|118.826|
| Individual 1097       |49.2612|0.100994|31.0385|2.04606|3.40325|200.448|1.99459|155.192|1.94507|-45.858|97.6074|
| Individual 1098       |58.9255|0.0316854|48.0774|2.02852|24.9692|260.671|-60.1364|240.387|1.99684|-33.9563|106.455|
| Individual 1099       |60.189|0.282285|46.4639|1.84709|8.0036|248.76|138.736|232.319|1.5648|-52.1854|101.544|
| Individual 1100       |56.8799|0.0301016|44.8044|2.01096|4.96634|232.486|43.2341|224.022|1.98086|-51.9136|88.1683|
| Individual 1101       |62.5221|0.102471|32.3817|2.06577|4.89186|254.98|0.14837|161.908|1.9633|-57.6303|148.019|
| Individual 1102       |59.256|0.0776905|44.8955|1.84735|7.01675|244.041|33.0178|224.477|1.76966|-52.2393|100.506|
| Individual 1103       |49.406|0.152884|45.5105|1.99395|5.942|203.566|2.07949|227.553|1.84106|-43.464|57.829|
| Individual 1104       |63.5764|0.0532186|42.4532|1.97421|5.66849|259.974|6.10795|212.266|1.92099|-57.9079|123.009|
| Individual 1105       |73.2862|0.0544596|39.2172|1.81478|6.18036|299.325|179.044|196.086|1.76032|-67.1059|172.872|
| Individual 1106       |49.1645|0.214289|47.6153|1.99297|5.51183|202.17|6.38685|238.076|1.77868|-43.6527|50.4307|
| Individual 1107       |44.893|0.0489038|46.6332|1.90858|4.37247|183.945|165.089|233.166|1.85968|-40.5205|34.7464|
| Individual 1108       |53.9063|0.036418|26.246|2.06623|6.09716|221.722|1.93112|131.23|2.02981|-47.8092|132.835|
| Individual 1109       |42.9836|0.104044|39.415|2.03498|4.0973|176.032|-37.1262|197.075|1.93093|-38.8863|48.1319|
| Individual 1110       |70.3158|0.129699|22.2429|1.83609|5.22374|286.487|70.3353|111.214|1.70639|-65.092|211.226|
| Individual 1111       |46.6646|0.0182935|21.4486|1.87008|4.16536|190.824|55.0466|107.243|1.85179|-42.4993|117.219|
| Individual 1112       |61.3947|0.0124692|49.1752|2.10506|9.95824|255.537|0.157398|245.876|2.09259|-51.4364|97.5484|
| Individual 1113       |39.6306|0.204211|44.9985|2.07708|5.08371|163.606|26.4175|224.992|1.87287|-34.5469|19.2465|
| Individual 1114       |54.4587|0.0340593|33.4143|1.97635|5.46611|223.301|1.94198|167.071|1.94229|-48.9925|113.347|
| Individual 1115       |44.5495|0.0239171|38.441|1.92107|2.4938|180.692|4.77161|192.205|1.89715|-42.0557|55.8829|
| Individual 1116       |41.6942|0.0547745|41.3414|1.87342|3.42554|170.202|224.958|206.707|1.81864|-38.2686|37.0849|
| Individual 1117       |50.8574|0.20411|40.9386|1.93667|5.64976|209.08|5.98334|204.693|1.73256|-45.2077|77.6009|
| Individual 1118       |56.1072|0.0169454|48.5068|1.95331|5.07526|229.504|132.087|242.534|1.93636|-51.032|74.302|
| Individual 1119       |32.3921|0.108318|47.2131|2.01024|7.58806|137.157|1.78458|236.065|1.90193|-24.8041|-13.9921|
| Individual 1120       |46.5498|0.0383224|49.1991|2.00989|4.31194|190.511|-50.275|245.995|1.97156|-42.2379|33.0562|
| Individual 1121       |48.1831|0.288073|42.8833|2.002|3.60337|196.336|136.783|214.417|1.71393|-44.5797|59.1162|
| Individual 1122       |62.1266|0.111027|35.1613|1.98606|5.99269|254.499|34.5139|175.807|1.87503|-56.1339|139.64|
| Individual 1123       |57.3138|0.0960825|26.5459|1.8181|5.38037|234.636|0.0220523|132.729|1.72201|-51.9334|146.388|
| Individual 1124       |56.7009|0.0415302|45.9981|1.99393|3.97995|230.784|43.7342|229.99|1.9524|-52.721|83.0275|
| Individual 1125       |50.1659|0.0529054|38.0154|2.06479|7.73474|208.398|1.70467|190.077|2.01189|-42.4312|84.2928|
| Individual 1126       |46.6103|0.0203777|35.1142|1.96617|6.23199|192.673|5.37618|175.571|1.94579|-40.3783|77.6016|
| Individual 1127       |50.4765|0.0071521|43.3924|1.81031|4.80577|206.712|143.432|216.962|1.80316|-45.6707|67.5187|
| Individual 1128       |57.4348|0.0184462|31.2187|1.80884|3.46264|233.202|5.13608|156.093|1.79039|-53.9721|130.594|
| Individual 1129       |58.19|0.084939|37.0627|1.81664|14.1295|246.89|218.671|185.313|1.7317|-44.0605|127.043|
| Individual 1130       |49.8285|0.130179|38.7978|2.06471|5.4519|204.766|1.68262|193.989|1.93453|-44.3766|78.6997|
| Individual 1131       |41.1786|0.0138011|44.0701|1.975|4.22552|168.94|-29.1377|220.35|1.9612|-36.9531|26.9237|
| Individual 1132       |56.0528|0.00835762|44.4277|2.08624|6.25511|230.466|3.81594|222.138|2.07789|-49.7977|86.7938|
| Individual 1133       |36.0271|0.102823|20.7242|2.08412|4.35848|148.467|62.5646|103.621|1.9813|-31.6687|76.3879|
| Individual 1134       |49.8212|0.647584|42.2573|2.01737|5.45042|204.735|0.106314|211.287|1.36979|-44.3708|71.1144|
| Individual 1135       |42.7306|0.0772646|26.9123|2.00717|2.79507|173.717|31.4724|134.561|1.92991|-39.9355|83.331|
| Individual 1136       |59.9122|0.0251068|30.822|1.97922|4.76151|244.41|1.92849|154.11|1.95411|-55.1507|142.174|
| Individual 1137       |42.8662|0.0154481|30.0874|1.96853|5.85722|177.322|4.7243|150.437|1.95308|-37.009|77.2942|
| Individual 1138       |41.9907|0.00628504|49.7834|1.9976|5.02611|172.989|254.983|248.917|1.99132|-36.9646|13.6822|
| Individual 1139       |44.4211|0.0229541|39.6414|1.76928|4.51547|182.2|5.89177|198.207|1.74632|-39.9056|54.544|
| Individual 1140       |46.3711|0.157124|42.4921|1.81638|4.94289|190.427|157.362|212.461|1.65925|-41.4282|54.6545|
| Individual 1141       |48.1009|0.053696|33.0512|1.95019|5.21622|197.62|1.82217|165.256|1.89649|-42.8847|88.9836|
| Individual 1142       |27.0144|0.0100411|42.2952|1.98538|5.72863|113.786|-57.8403|211.476|1.97534|-21.2857|-22.9762|
| Individual 1143       |46.2257|0.195203|47.6042|1.94314|5.86976|190.773|151.455|238.021|1.74794|-40.356|39.2205|
| Individual 1144       |56.2422|0.117478|37.9693|1.94982|10.7727|235.742|61.4513|189.847|1.83234|-45.4696|112.672|
| Individual 1145       |45.2804|0.0960226|31.6044|2.05952|4.84602|185.967|0.0138813|158.022|1.9635|-40.4343|81.3367|
| Individual 1146       |44.4008|0.0475839|38.3893|1.84241|4.43319|182.036|48.2621|191.946|1.79482|-39.9676|57.8945|
| Individual 1147       |64.2028|0.159071|37.7612|2.07813|5.0837|261.895|1.93432|188.806|1.91906|-59.1191|139.016|
| Individual 1148       |38.7797|0.0168168|29.8615|1.88145|4.5965|159.715|0.647884|149.307|1.86464|-34.1832|60.8078|
| Individual 1149       |57.0014|0.211761|35.7016|1.80955|3.99377|231.999|246.453|178.508|1.59779|-53.0077|116.906|
| Individual 1150       |55.2879|0.441682|31.8539|2.05991|-9.03178|212.12|5.81684|159.269|1.61823|-64.3197|108.467|
| Individual 1151       |63.6422|0.0484574|37.9968|1.81875|4.4473|259.016|241.31|189.984|1.7703|-59.1949|136.174|
| Individual 1152       |67.2943|0.0082963|35.7192|1.97853|5.52067|274.698|1.92044|178.596|1.97023|-61.7737|157.689|
| Individual 1153       |32.8139|0.00903935|40.2399|1.96861|5.03115|136.287|-60.8034|201.199|1.95957|-27.7828|5.76943|
| Individual 1154       |50.436|0.0534455|20.9785|1.92626|4.36635|206.11|92.0644|104.892|1.87282|-46.0696|133.811|
| Individual 1155       |55.5578|0.123686|23.9712|1.9156|3.36749|225.599|46.32|119.856|1.79192|-52.1903|144.726|
| Individual 1156       |49.5723|0.26041|21.5018|1.87528|6.45946|204.749|0.185919|107.509|1.61487|-43.1129|132.169|
